"site","mean_comp_B","sd_comp_B","count_comp","count_comp_presnt","mean_cons_B","sd_cons_B","mean_DD_B","sd_DD_B","cons_present","network_ID","site_designation","site_status","Island","Side","pred_B_3root","prey_B_3root","DD_B_3root"
"SCI_PAINTED_CAVE_W",-1.68237757398919,4.59127550880682,11,5,-1.27160093929333,1.62848477006243,-5.19786283747815,9.56234938579835,TRUE,43,"SMCA","MPA","SCI","North",-1.08338698338822,-1.18934492439268,-1.73224083280596
"SCI_PELICAN_E",0,0,3,1,-0.238692094475613,0.413426834996793,0.523285148733288,0.554570912463533,TRUE,2,"reference","reference","SCI","North",-0.620315564709824,0,0.805835018853005
"SCI_PELICAN_E",-1.11154478366866,1.60933391834646,5,4,-3.67715782866912,3.90020076032603,-5.18650038533807,4.98832035483709,TRUE,5,"reference","reference","SCI","North",-1.54349096012502,-1.03587890327037,-1.73097769424916
"SCI_PELICAN_E",-0.216680268250045,0.910113905841151,10,3,0.447789661752638,1.70116358700895,-1.2670712044675,3.37979053510553,TRUE,19,"reference","reference","SCI","North",0.76505270359135,-0.600629217919986,-1.0820990283603
"SCI_PELICAN_E",-0.00318247316308116,0.15848015952923,3,2,-0.582648551794277,0.646387921639844,0.503604375027368,0.450780489041605,TRUE,22,"reference","reference","SCI","North",-0.835222574103279,-0.14709172801029,0.795603157653023
"SCI_PELICAN_E",-0.428393303306959,1.07267213108921,5,3,-2.1390643605446,2.69284670192756,-5.47732326917266,9.19232872971927,TRUE,23,"reference","reference","SCI","North",-1.28847090831682,-0.753842973364498,-1.76274486349828
"SCI_PELICAN_E",0,0,2,0,0,0,0.762448753053846,0.411450829112079,TRUE,36,"reference","reference","SCI","North",0,0,0.913559601005538
"SCI_PELICAN_E",0,0,3,1,-0.342070061878487,0.592482726921769,-3.69433681875201,9.0271772421805,TRUE,18,"reference","reference","SCI","North",-0.699366816460827,0,-1.54589085990073
"SCI_PELICAN_E",-1.91407735124014,2.95447200749029,16,13,-0.384548553491821,2.05040357842779,-6.06182491025404,8.36790144808626,TRUE,10,"reference","reference","SCI","North",-0.727194179347172,-1.24161369669068,-1.82334057304841
"SCI_PELICAN_E",0,0,2,0,0,0,0.714835564383204,0.493919290999995,TRUE,35,"reference","reference","SCI","North",0,0,0.894132848973538
"SCI_PELICAN_E",-0.0869514519043339,0.210171355791592,3,2,0.134306444464877,0.122541420112766,0.14898373225622,0.567345561981537,TRUE,20,"reference","reference","SCI","North",0.512112783972648,-0.443022325790016,0.530126624849132
"SCI_PELICAN_E",0.136601866559927,0.586766018200201,3,2,-0.119719338322645,0.14255024873663,0.280392460063934,0.853548709940672,TRUE,17,"reference","reference","SCI","North",-0.492857575117563,0.515013813762035,0.65451877717281
"SCI_PELICAN_E",-1.53583823803268,4.57125682653918,16,7,-0.93191617532143,1.42570665115976,-6.94485502241786,14.7924616372188,TRUE,34,"reference","reference","SCI","North",-0.97676993441976,-1.15375915115595,-1.90789466973755
"SCI_PELICAN_E",0,0,4,1,-1.66263293878173,3.32526587756347,-3.74052262326685,7.90266177468248,TRUE,30,"reference","reference","SCI","North",-1.18467382615611,0,-1.55230633047574
"SCI_PELICAN_E",0.105872010207158,0.217955706170278,3,2,-0.0627599037658692,0.193553166381362,0.422981417150751,0.393480549227227,TRUE,11,"reference","reference","SCI","North",-0.39739959758071,0.473071792053662,0.750655082264234
"SCI_PELICAN_E",-3.4645892129505,7.29933996479136,8,5,-8.09506777340336,8.44772276022087,-15.6555890588808,19.3609562819621,TRUE,26,"reference","reference","SCI","North",-2.00789113846864,-1.51315673874623,-2.50163035302213
"SCI_PELICAN_E",-1.97390616032229,2.97202687811438,7,6,-5.70485720867998,2.99120948122806,-10.2511658637384,12.2264480738493,TRUE,45,"reference","reference","SCI","North",-1.78682324186874,-1.25441768307055,-2.17232309867943
"SCI_PELICAN_E",0,0,4,1,-0.0283687013354122,0.0567374026708245,0.770216852643642,0.32437441960146,TRUE,16,"reference","reference","SCI","North",-0.30498593981736,0,0.91665168050987
"SCI_PELICAN_E",-2.46417518127425,6.38319680811747,11,5,2.9924782226238,3.82509639416657,-9.95312973796377,18.4172730287354,TRUE,43,"reference","reference","SCI","North",1.44104319704941,-1.35069469161836,-2.15106345355977
