"Island","site_status","network_ID","mean_comp_B","sd_comp_B","count_comp","count_comp_presnt","mean_cons_B","sd_cons_B","mean_DD_B","sd_DD_B","pred_B_3root","prey_B_3root","DD_B_3root"
"Anacapa","MPA","46",-0.0661323494683008,0.634345692125228,5,4,0.225509202671967,0.633879559406026,0.224545043753036,0.836608188059674,0.608678679570361,-0.404393950976917,0.60780997689567
"Anacapa","MPA","5",-0.0136511206303635,0.553410785763049,5,5,-0.17294425045758,0.596799170077477,-0.0367671763990535,0.163852780038949,-0.557145605656113,-0.238995340970921,-0.332521777152609
"Anacapa","MPA","6",0,0,2,1,0.80424273743406,1.13737098671931,0.442295814269412,0.836362490100997,0.929955961006331,0,0.761911057484502
"Anacapa","all","11",-0.268094924756205,0.686555050588989,3,3,-0.128426696815261,0.225179148364678,0.186144400045645,0.487575524765686,-0.504527803315279,-0.644806684254221,0.570974428497773
"Anacapa","all","12",-0.23319305779256,0.702950169962738,3,3,0.09669798162831,0.289963187829215,-0.135352914007144,0.462019327574472,0.45899272605733,-0.615514855434944,-0.513439413160541
"Anacapa","all","14",-0.0371771938941838,0.506861452022859,18,14,-0.10452722511611,0.325513979925475,0.413792059416369,0.569572515721058,-0.471060266863415,-0.333753274630524,0.745179188713965
"Anacapa","all","15",-1.21788894519306,1.51615690404032,2,2,0.956284980398288,1.48914937031534,-0.0165553199075557,0.686042229834924,0.985210681105498,-1.06791305606226,-0.254866365492417
"Anacapa","all","16",-0.204725763784256,0.585549574629942,4,4,0.310496493187044,0.136900393522671,0.111455068931865,0.437609308889776,0.67715106603499,-0.589373810196876,0.48124541878226
"Anacapa","all","17",-0.0563470620290257,0.359249929908738,3,3,-0.345838194985047,0.28878523554045,0.0130942482731878,0.626408798716153,-0.701925443840422,-0.383374973404267,0.235700329886992
"Anacapa","all","18",-0.0835963434195348,0.282627305845692,3,2,0.0241518212288373,0.509824941554968,-0.332054118060945,1.19169289568398,0.289056869628163,-0.437249270726118,-0.692473178983334
"Anacapa","all","19",0.00334855128647117,0.16013435715467,10,4,-0.0288664435793355,0.132803251986591,0.675514628804247,0.418518212389249,-0.306759315715953,0.149607139174406,0.87742819575895
"Anacapa","all","2",-0.0961881070410538,0.406709363156138,3,2,0.203257724574257,0.308780878852896,0.240474908186538,0.722216678008652,0.587961676831787,-0.458184569688037,0.621856133938585
"Anacapa","all","20",-0.0572796487797634,0.559301173864517,3,2,-0.205267293557351,0.294716841106005,0.331359377393026,0.903436987904143,-0.589893012830322,-0.385478460140305,0.691989899137137
"Anacapa","all","22",0.230892154377009,0.70942744417961,3,3,-1.13694940090264,0.257628882505422,-0.0505650961993885,0.869778419755243,-1.04371128453223,0.613483743048094,-0.369785841978451
"Anacapa","all","23",-0.023763443621585,0.453960297271263,5,4,-0.292528961610494,0.272995197501124,0.162887047492506,0.589958015041698,-0.663829105154828,-0.28749907950439,0.54612935019052
"Anacapa","all","26",0.0146878247193783,0.879124825503313,8,7,0.0501733624454044,0.928574171849373,0.0986038569021682,0.857456752694056,0.368828440518955,0.244898331934908,0.461988644521044
"Anacapa","all","27",0.00206650080853501,0.193458042481945,25,17,-0.0198835453636012,0.0971136592354595,0.717428756119862,0.323109562624913,-0.270913891586998,0.127373336899401,0.89521275223524
"Anacapa","all","3",-0.0263923771904458,0.338662688943246,4,3,-0.204213582757701,0.272428206903504,0.374855368583378,0.676495529978262,-0.588881903099183,-0.297732449041091,0.721032064521967
"Anacapa","all","30",0.0576330205262479,0.601386358326014,4,3,-0.343175615570451,0.659772218484722,-0.621375629070266,1.52538434740072,-0.700119445991376,0.386269538280538,-0.853332078463887
"Anacapa","all","32",-0.0265195516887965,0.659623747215894,2,2,0.283920438283171,0.751052495685004,0.126753151598978,0.65624154110679,0.657252457934864,-0.298209901547628,0.502326691682887
"Anacapa","all","36",0,0,2,1,-0.139203885140691,0.196864022300992,0.464915211124796,0.778356801608894,-0.51826329535965,0,0.774683998051079
"Anacapa","all","37",-0.0661658076936694,0.239335484005325,4,3,-0.0159701206872949,0.271684020443827,0.163897308646094,0.573417028902385,-0.251827255673944,-0.404462137590134,0.547256095242996
"Anacapa","all","4",0.0139989411810727,0.457062035705886,6,5,0.301485298605181,0.713344597644037,0.0775191946985258,0.822644995024681,0.670535918290894,0.241008150301849,0.426386144873334
"Anacapa","all","40",-0.0564992909205772,0.311820646451611,4,2,0.0635660714490114,0.08081191314112,0.405179852436486,0.884798899572719,0.399093931334052,-0.383719908688771,0.739973125659334
"Anacapa","all","41",-0.0362285492184545,0.169971965431404,5,3,-0.044914291012685,0.184386049446651,0.649569055489993,0.427376984173584,-0.355463366392213,-0.330890004062799,0.866047626614919
